,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
843,1623261600000,13860.6,13870.3,13854.3,13856.6,0,2021-06-09T18:00:00Z
844,1623262500000,13856.6,13865.0,13853.6,13863.4,0,2021-06-09T18:15:00Z
845,1623263400000,13863.4,13866.6,13847.9,13848.3,0,2021-06-09T18:30:00Z
846,1623264300000,13848.3,13852.3,13839.5,13840.5,0,2021-06-09T18:45:00Z
847,1623265200000,13840.5,13843.5,13832.9,13837.3,0,2021-06-09T19:00:00Z
848,1623266100000,13837.3,13843.6,13821.3,13821.3,0,2021-06-09T19:15:00Z
849,1623267000000,13821.3,13829.4,13809.4,13810.1,0,2021-06-09T19:30:00Z
850,1623267900000,13810.1,13826.5,13808.8,13817.2,0,2021-06-09T19:45:00Z
851,1623268800000,13817.2,13821.6,13811.3,13817.3,0,2021-06-09T20:00:00Z
852,1623269700000,13817.3,13817.5,13817.3,13817.5,0,2021-06-09T20:15:00Z
853,1623270600000,13817.5,13818.6,13813.3,13815.2,0,2021-06-09T20:30:00Z
854,1623271500000,13815.2,13817.3,13810.5,13812.5,0,2021-06-09T20:45:00Z
855,1623272400000,13812.5,13813.5,13812.5,13813.5,0,2021-06-09T21:00:00Z
856,1623276000000,13813.5,13821.8,13813.5,13820.7,0,2021-06-09T22:00:00Z
857,1623276900000,13820.7,13824.2,13818.5,13818.5,0,2021-06-09T22:15:00Z
858,1623277800000,13818.5,13822.7,13818.2,13820.9,0,2021-06-09T22:30:00Z
859,1623278700000,13820.9,13820.9,13816.2,13818.7,0,2021-06-09T22:45:00Z
860,1623279600000,13818.7,13820.3,13812.2,13817.9,0,2021-06-09T23:00:00Z
861,1623280500000,13817.9,13823.3,13817.4,13823.2,0,2021-06-09T23:15:00Z
862,1623281400000,13823.2,13825.0,13817.5,13818.9,0,2021-06-09T23:30:00Z
863,1623282300000,13818.9,13818.9,13812.4,13815.8,0,2021-06-09T23:45:00Z
864,1623283200000,13815.8,13822.4,13814.3,13816.7,0,2021-06-10T00:00:00Z
865,1623284100000,13816.7,13829.0,13816.4,13826.4,0,2021-06-10T00:15:00Z
866,1623285000000,13826.4,13827.3,13824.0,13825.2,0,2021-06-10T00:30:00Z
867,1623285900000,13825.2,13828.0,13824.4,13825.2,0,2021-06-10T00:45:00Z
868,1623286800000,13825.2,13836.4,13821.5,13831.4,0,2021-06-10T01:00:00Z
869,1623287700000,13831.4,13831.7,13827.2,13829.2,0,2021-06-10T01:15:00Z
870,1623288600000,13829.2,13836.8,13826.9,13835.2,0,2021-06-10T01:30:00Z
871,1623289500000,13835.2,13837.7,13829.2,13830.9,0,2021-06-10T01:45:00Z
872,1623290400000,13830.9,13834.4,13828.2,13830.9,0,2021-06-10T02:00:00Z
873,1623291300000,13830.9,13836.3,13829.8,13836.0,0,2021-06-10T02:15:00Z
874,1623292200000,13836.0,13839.9,13830.4,13830.8,0,2021-06-10T02:30:00Z
875,1623293100000,13830.8,13832.3,13827.7,13830.2,0,2021-06-10T02:45:00Z
876,1623294000000,13830.2,13833.2,13829.7,13832.7,0,2021-06-10T03:00:00Z
877,1623294900000,13832.7,13833.8,13825.7,13828.8,0,2021-06-10T03:15:00Z
878,1623295800000,13828.8,13833.2,13828.7,13832.7,0,2021-06-10T03:30:00Z
879,1623296700000,13832.7,13835.0,13830.9,13833.9,0,2021-06-10T03:45:00Z
880,1623297600000,13833.9,13836.3,13833.5,13834.9,0,2021-06-10T04:00:00Z
881,1623298500000,13834.9,13835.5,13831.5,13832.4,0,2021-06-10T04:15:00Z
882,1623299400000,13832.4,13832.7,13830.9,13832.2,0,2021-06-10T04:30:00Z
883,1623300300000,13832.2,13835.0,13829.2,13830.8,0,2021-06-10T04:45:00Z
884,1623301200000,13830.8,13832.2,13826.4,13828.7,0,2021-06-10T05:00:00Z
885,1623302100000,13828.7,13829.4,13823.0,13827.4,0,2021-06-10T05:15:00Z
886,1623303000000,13827.4,13828.5,13817.4,13822.2,0,2021-06-10T05:30:00Z
887,1623303900000,13822.2,13824.5,13818.7,13820.9,0,2021-06-10T05:45:00Z
888,1623304800000,13820.9,13822.5,13812.9,13819.2,0,2021-06-10T06:00:00Z
889,1623305700000,13819.2,13819.9,13816.2,13817.7,0,2021-06-10T06:15:00Z
890,1623306600000,13817.7,13818.7,13787.5,13804.7,0,2021-06-10T06:30:00Z
891,1623307500000,13804.7,13809.0,13800.0,13802.8,0,2021-06-10T06:45:00Z
892,1623308400000,13802.8,13806.9,13775.3,13784.8,0,2021-06-10T07:00:00Z
